timestamp_s,PS1,PS2,PS3,PS4,PS5,PS6,EPS1,FS1,FS2,TS1,TS2,TS3,TS4,VS1,CE,CP,SE
0.0,152.24599999999998,95.14579999999998,1.8954,0.0,9.9626,9.8414,2411.3999999999996,8.99,10.179,35.57,40.961,38.32,30.363,0.604,47.202,2.184,68.039
0.1,157.179,10.4938,0.0,0.0,9.963899999999999,9.8432,2408.2599999999998,0.77,10.174,35.57,40.961,38.32,30.363,0.604,47.202,2.184,68.039
0.2,163.422,4.632999999999999,0.0,0.0,9.9601,9.835700000000003,2409.0,0.641,10.151,35.57,40.961,38.32,30.363,0.604,47.202,2.184,68.039
0.3,170.279,2.5835,0.0,0.0,9.9672,9.8409,2478.2400000000002,0.006,10.149,35.57,40.961,38.32,30.363,0.604,47.202,2.184,68.039
0.4,177.552,1.732,0.0,0.0,9.964500000000001,9.8402,2496.1400000000003,0.0,10.172,35.57,40.961,38.32,30.363,0.604,47.202,2.184,68.039
0.5,185.077,1.2358999999999998,0.0,0.0,9.961000000000002,9.840799999999998,2640.0,0.0,10.176,35.57,40.961,38.32,30.363,0.604,47.202,2.184,68.039
0.6,189.603,0.9795999999999999,0.0,0.0,9.9617,9.8393,2673.84,0.001,10.169,35.57,40.961,38.32,30.363,0.604,47.202,2.184,68.039
0.7,190.95,0.7500000000000001,0.0,0.0,9.9637,9.841399999999998,2829.46,0.003,10.176,35.57,40.961,38.32,30.363,0.604,47.202,2.184,68.039
0.8,191.304,0.6133000000000001,0.0,0.0,9.969999999999999,9.8456,2863.88,0.001,10.174,35.57,40.961,38.32,30.363,0.604,47.202,2.184,68.039
0.9,191.38400000000001,0.5016,0.0,0.0,9.969499999999998,9.845299999999998,2924.46,0.001,10.171,35.57,40.961,38.32,30.363,0.604,47.202,2.184,68.039
1.0,191.388,0.42410000000000003,0.0,0.0,9.9642,9.8345,2937.2400000000002,0.001,10.176,35.492,40.949,38.332,30.375,0.605,47.273,2.184,0.0
1.1,191.429,0.37029999999999996,0.0,0.0,9.961400000000001,9.8332,2940.76,0.005,10.187,35.492,40.949,38.332,30.375,0.605,47.273,2.184,0.0
1.2,191.411,0.2991,0.0,0.0,9.9583,9.831900000000001,2941.5000000000005,0.0,10.172,35.492,40.949,38.332,30.375,0.605,47.273,2.184,0.0
1.3,191.402,0.2502,0.0,0.0,9.9569,9.836099999999998,2943.1800000000003,0.0,10.165,35.492,40.949,38.332,30.375,0.605,47.273,2.184,0.0
1.4,191.337,0.1399,0.0,0.0,9.966899999999999,9.846499999999999,2943.4000000000005,0.0,10.159,35.492,40.949,38.332,30.375,0.605,47.273,2.184,0.0
1.5,191.28900000000002,0.08739999999999999,0.0,0.0,9.967400000000001,9.8468,2945.0800000000004,0.0,10.17,35.492,40.949,38.332,30.375,0.605,47.273,2.184,0.0
1.6,189.081,0.07329999999999999,0.0,0.0,9.9568,9.833,2945.4000000000005,0.001,10.159,35.492,40.949,38.332,30.375,0.605,47.273,2.184,0.0
1.7,163.882,0.0445,0.0,0.0,9.9527,9.8314,2942.3599999999997,0.0,10.176,35.492,40.949,38.332,30.375,0.605,47.273,2.184,0.0
1.8,169.61499999999998,0.0445,0.0,0.0,9.95,9.832699999999999,2932.2,0.0,10.171,35.492,40.949,38.332,30.375,0.605,47.273,2.184,0.0
1.9,175.586,0.14529999999999998,0.0,0.0,9.962299999999999,9.8425,2701.7,0.0,10.169,35.492,40.949,38.332,30.375,0.605,47.273,2.184,0.0
2.0,181.948,0.0962,0.0,0.0,9.968599999999999,9.8461,2654.7799999999997,0.005,10.163,35.469,40.965,38.32,30.367,0.611,47.25,2.184,0.0
